,Unnamed: 0_x,fips_str,ep_pov,ep_bipoc,ep_carless,ep_overcrowd,risk_score,Unnamed: 0_y,pop
351,62910,42003561400,0.2798653954010095,0.7204150308468873,0.3699522362136344,0.0,0.4772917778077544,62910,3566
84,62643,42003270300,0.3958427474017171,0.5671034794396747,0.3650963597430406,0.0,0.472609331052671,62643,2213
377,62936,42003565200,0.2318166722019262,0.7070740617734972,0.4079207920792079,0.0,0.4697612994816378,62936,3011
376,62935,42003565100,0.3433796139519133,0.3843548933288181,0.2981326464906632,0.026,0.4592657071446229,62935,2953
303,62862,42003515300,0.4731182795698925,0.4583333333333333,0.2187845303867403,0.0139999999999999,0.4589451259443798,62862,1488
262,62821,42003486900,0.4864694776589049,0.6362492133417244,0.1750788643533123,0.0,0.4531884527102685,62821,1589
320,62879,42003523100,0.2457560720814834,0.903107861060329,0.1108213820078226,0.0,0.44466094878657,62879,3829
53,62612,42003141300,0.3161993769470405,0.2899143302180685,0.2994173016584491,0.033,0.4443197941057963,62612,5136
211,62770,42003470501,0.0529465930018416,0.6533149171270718,0.0628875110717449,0.069,0.4403814826880822,62770,4344
200,62759,42003463900,0.3307342430149447,0.4577647823261858,0.3422865013774104,0.01,0.4392037036576665,62759,3078
365,62924,42003563202,0.3357588357588357,0.3996881496881497,0.4665144596651446,0.0,0.438002051668648,62924,1924
86,62645,42003271600,0.3403712296983758,0.5617169373549884,0.3260109835247129,0.0,0.4339252935535119,62645,4310
33,62592,42003101900,0.3343217197924388,0.7898443291326909,0.152077807250221,0.006,0.4328769668360238,62592,2698
352,62911,42003561500,0.3865546218487395,0.6415783704786262,0.2017139090309822,0.0,0.4268981863405467,62911,2737
24,62583,42003080700,0.1814159292035398,0.4051130776794494,0.3692679002413516,0.024,0.4246196683011594,62583,2034
261,62820,42003486800,0.3207171314741036,0.701859229747676,0.2107355864811133,0.0,0.4237657223008639,62820,1506
278,62837,42003492800,0.4376286537669823,0.6303005351996707,0.1457085828343313,0.0,0.4207674260252808,62837,2429
244,62803,42003477300,0.191162933415158,0.3708192697146364,0.1577531113353515,0.049,0.4201402310134871,62803,6518
80,62639,42003261400,0.4549218031278749,0.5919963201471942,0.1515151515151515,0.006,0.4178888727539863,62639,2174
78,62637,42003260700,0.1656365883807169,0.3671199011124845,0.1143740340030912,0.051,0.3987703136513624,62637,1618
356,62915,42003562400,0.3972927241962775,0.5658206429780034,0.1771479185119575,0.0,0.397758442778471,62915,2955
62,62621,42003180300,0.3555442522889115,0.4552390640895218,0.2958762886597938,0.0,0.3947536219406425,62621,1966
295,62854,42003509400,0.3585610379398466,0.3961077255749951,0.1964121435142594,0.015,0.3899766228985916,62854,5087
16,62575,42003070300,0.242756804214223,0.3301141352063213,0.296816479400749,0.022,0.3891942258068219,62575,2278
22,62581,42003080400,0.2993939393939394,0.3321212121212121,0.2695652173913043,0.018,0.3869159733917348,62581,1650
87,62646,42003281400,0.4370700121408337,0.4597329016592473,0.1823154056517775,0.0,0.3822958765175012,62646,2471
319,62878,42003522000,0.3881322957198443,0.3715953307392996,0.1689630166787527,0.0139999999999999,0.3793676777978894,62878,3084
